601
         2302549 function calls (2302531 primitive calls) in 6.267 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        2    0.000    0.000    0.000    0.000 re.py:192(compile)
        2    0.000    0.000    0.000    0.000 re.py:230(_compile)
        5    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
        5    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
        2    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        2    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:552(_code)
        2    0.000    0.000    0.000    0.000 sre_compile.py:567(compile)
      4/2    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        8    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:139(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
      6/4    0.000    0.000    0.000    0.000 sre_parse.py:149(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:191(__next)
        4    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
       15    0.000    0.000    0.000    0.000 sre_parse.py:210(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:310(_parse_sub)
        2    0.000    0.000    0.000    0.000 sre_parse.py:388(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:686(parse)
        4    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.004    0.004    6.267    6.267 thinning.py:1(<module>)
        1    0.002    0.002    0.003    0.003 thinning.py:109(zero_padding)
        1    0.000    0.000    0.000    0.000 thinning.py:12(ImageFile)
        1    0.001    0.001    0.025    0.025 thinning.py:13(__init__)
        1    0.015    0.015    0.024    0.024 thinning.py:18(_open_file)
        1    0.000    0.000    6.252    6.252 thinning.py:197(main)
        1    0.198    0.198    1.037    1.037 thinning.py:27(save_img)
        1    0.000    0.000    0.000    0.000 thinning.py:36(time_stamp)
        1    4.965    4.965    5.189    5.189 thinning.py:43(zs_thin)
   302056    0.025    0.000    0.025    0.000 thinning.py:85(<lambda>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {PIL._imaging.new}
        1    0.000    0.000    0.000    0.000 {PIL._imaging.raw_decoder}
        1    0.000    0.000    0.000    0.000 {PIL._imaging.raw_encoder}
        2    0.001    0.000    0.004    0.002 {__import__}
        1    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 {_locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 {_locale.setlocale}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       11    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E229480}
        1    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       56    0.000    0.000    0.000    0.000 {chr}
    37757    0.060    0.000    0.085    0.000 {filter}
      273    0.000    0.000    0.000    0.000 {getattr}
        5    0.000    0.000    0.000    0.000 {hasattr}
       42    0.000    0.000    0.000    0.000 {isinstance}
    36/24    0.000    0.000    0.000    0.000 {issubclass}
    86/84    0.000    0.000    0.000    0.000 {len}
        2    0.000    0.000    0.000    0.000 {map}
        2    0.000    0.000    0.000    0.000 {math.ceil}
        2    0.000    0.000    0.000    0.000 {max}
       12    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       12    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
       92    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    75187    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingEncoder' objects}
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.003    0.001    0.003    0.001 {method 'close' of 'file' objects}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        1    0.001    0.001    0.001    0.001 {method 'encode_to_file' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'fileno' of 'file' objects}
        5    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
        9    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
   360003    0.040    0.000    0.040    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
   360000    0.076    0.000    0.076    0.000 {method 'putpixel' of 'ImagingCore' objects}
        7    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        8    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        2    0.000    0.000    0.000    0.000 {nt.stat}
        2    0.000    0.000    0.000    0.000 {open}
       38    0.000    0.000    0.000    0.000 {ord}
    43276    0.127    0.000    0.127    0.000 {range}
        3    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 {sorted}
    42601    0.005    0.000    0.005    0.000 {time.time}


